B11,B2,B3,B4,B8,NDBI,NDVI,NDWI,label,year,SAVI,BSI,UI,predicted_label
3201.54552937544,1343.15462179553,1634.06516973097,1484.64946536126,4427.70953010359,-0.160543949840001,0.491939785816259,-0.454576908098689,0,2024,0.7466083836092617,-0.10372602296233292,-0.1607187059770262,3
2784.21673354735,1280.40704922418,1505.60667469235,1348.05516987694,4176.80245452114,-0.204410319037357,0.507759819217804,-0.466269219457945,0,2024,0.7679359808730093,-0.13816571971560795,-0.20005486026539712,3
3060.95665462814,1459.65306313537,1675.74900347779,1735.8926364366,3641.66097512039,-0.09460385622864,0.358886910632665,-0.367699855724306,0,2024,0.5315403516771715,-0.03075972148177529,-0.08663843778211128,0
3604.07059925094,1673.50761102194,1930.15680176565,2192.20455457464,3391.67542134832,0.0296079377661805,0.214449818296126,-0.272383028971053,0,2024,0.3221855081347962,0.06731067863286418,0.030360618764205257,1
2874.3876070091,1486.06928170144,1666.22956126271,1783.11114901016,3251.2807517389,-0.0655598552197161,0.293464348780739,-0.31796690292782,0,2024,0.43739854747734946,-0.008499474468462685,-0.06152686085128377,3
2266.32203718566,1268.25912252541,1417.43881754949,1278.57324772605,3548.99118512574,-0.219499828935892,0.467456135404991,-0.426353206192499,0,2024,0.7053814118400102,-0.15215652593648313,-0.2205675083878388,0
2521.05485553772,1326.17960139112,1504.97025815944,1436.3403424291,3457.91125601926,-0.161717820836349,0.413966913943681,-0.391868811825166,0,2024,0.6195117994029562,-0.09457152413290526,-0.15669204056377792,0
3511.55364499733,1575.21163055109,1852.23846308186,1961.93528624933,3430.00593900482,0.0042388562421541,0.276849885478005,-0.299105026790016,0,2024,0.40836902752323423,0.0446878974666277,0.011747749912058507,1
2832.88381487427,1554.83879079722,1773.5401952916,1732.64086409845,3059.52119448903,-0.0244563980813451,0.247808533327832,-0.23411700920708,1,2024,0.4152849650685507,-0.0053198169802356875,-0.038462627612091044,1
3292.30313001605,1681.15118378812,1930.05229400749,2105.13721241305,3077.90673488497,0.0351320402533453,0.179917618783867,-0.217810290362582,0,2024,0.28149742696181457,0.06285457914180076,0.03365609605931115,1
3616.89872257892,1601.47038523274,1896.37986222579,2019.54887640449,3413.4072164259,0.030714981119459,0.254830665118743,-0.282411552391266,0,2024,0.38479882312677055,0.05835611866280288,0.02894490053754694,1
3303.37651819155,1439.28438336008,1706.56978999465,1680.70439406099,3468.41726859283,-0.0254895665509239,0.346704890589928,-0.33900595724171,0,2024,0.5207313250301642,0.00772148597119564,-0.024371792112655354,3
3181.15943294548,1437.11033489886,1744.95711689598,1641.93796857913,3953.97533690495,-0.109200958691504,0.41146065749589,-0.385473320226431,0,2024,0.6196926251122814,-0.05560780203385507,-0.10831132541812799,3
3835.99316610704,1617.58589768911,1897.84574363025,2058.8928105866,3354.98909737309,0.0672688695106809,0.238609920103829,-0.276341691837226,0,2024,0.3590704282092931,0.08486904015836778,0.06688989780669612,1
3511.79400657814,1364.88768424899,1733.75539042514,1477.3438908515,5069.41344865391,-0.181622285318239,0.548697067862658,-0.490278917020602,0,2024,0.8229559428178275,-0.12650859619733884,-0.18151518305574504,3
3306.63881026348,1371.52774134161,1743.74750891726,1510.74979864226,4802.22258658381,-0.183332900217359,0.519665631908597,-0.465440328867039,0,2024,0.7820116855924975,-0.1234050198814729,-0.18443819706941963,3
2652.40203276495,1274.51828819792,1509.98088933466,1316.39077900367,4129.95465730524,-0.210922785762327,0.500755470480931,-0.450270758176795,0,2024,0.7748238621421759,-0.1531675481003768,-0.21785239144138838,3
2732.01929120695,1478.85437646271,1682.33701771982,1591.64348378468,3900.72862587762,-0.178220571862701,0.426876093243277,-0.399096480910746,0,2024,0.6305676964600497,-0.10882134201067714,-0.17620288744282278,3
3566.30460046806,1619.90774322968,1885.51834169173,1975.0482714811,3794.55456369106,-0.0284250670432204,0.310698736391862,-0.330539976686162,3,2024,0.4730001381740553,0.011582028626509684,-0.0310086034975884,1
